"class","oldMethodName","newMethodName","tokens"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testCrearActualizarFirmanteThrowsNullPointerException","testCrearActualizarFirmante","244"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testExtractoThrowsNullPointerException","testExtracto","159"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testObtenerIdDocEni","testObtenerIdDocEni","408"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testCreatesMetodosEntregaServiceImplAndCallsCalcularIdAppAlfresco0","testCalcularIdAppAlfresco","160"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testCreatesMetodosEntregaServiceImplAndCallsCalcularIdAppAlfresco1","testCalcularIdAppAlfresco2","187"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testCalcularIdAppAlfrescoThrowsException","testCalcularIdAppAlfrescoWithInvalidInput","210"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testObtenerUnidadOrganica","testObtenerUnidadOrganica","457"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testObtenerUnidadOrganicaThrowsException","testObtenerUnidadOrganicaWithException","541"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testCalcularIdAppAlfrescoThrowsNullPointerException","testCalcularIdAppAlfrescoWithNullInput","227"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testExtractoThrowsStringIndexOutOfBoundsException","testExtractoWithException","355"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testGetDatosProcesoEntregaDelFormularioThrowsNullPointerException","testGetDatosProcesoEntregaDelFormulario","272"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testObtenerIdDocEniThrowsNullPointerException","testObtenerIdDocEniWithNullPointerException","271"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testCompruebaFaseEnPlazoWithNull","compruebaFaseEnPlazoWithNullInput","653"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testCrearDocumentoThrowsNullPointerException","testCrearDocumento","647"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testCrearFirmaThrowsNullPointerException","testCrearFirma","371"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testCompruebaFaseEnPlazoWithNonEmptyString","testCompruebaFaseEnPlazoWithNullPointerException","348"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testExtractoAndExtractoWithNegativeAndExtractoWithEmptyString0","testExtractoWithTimeout","386"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testExtractoAndExtractoWithNegativeAndExtractoWithEmptyString1","testExtractoWithTimeout2","329"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testExtractoWithZero","testExtractoWithTimeout3","325"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testExtractoAndExtractoWithNullAndExtractoWithNonEmptyString0","testExtractoWithTimeout4","407"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testExtractoAndExtractoWithNullAndExtractoWithNonEmptyString1","testExtractoWithTimeout5","402"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testExtractoAndExtractoWithNullAndExtractoWithNonEmptyString2","testExtractoWithTimeout6","346"
"/Users/rsain/Downloads/tests/PDFnormalizadoServiceImpl_ESTest.java","testGenerarPdfNormalizadoThrowsRuntimeException","testGenerarPdfNormalizado","226"
"/Users/rsain/Downloads/tests/PDFnormalizadoServiceImpl_ESTest.java","testGenerarPdfNormalizadoThrowsNullPointerException","testGenerarPdfNormalizadoWithNullInput","183"
"/Users/rsain/Downloads/tests/PDFnormalizadoServiceImpl_ESTest.java","testGenerarPdfNormalizadoThrowsException","testGenerarPdfNormalizadoWithException","466"
